CityId,X,Y
0,2610323.25364456046,1103282.11095456989
1,626769.14528644399,3322299.99669589009
2,955070.25949607301,714119.75236290297
3,578897.95111055602,1235520.66465466004
4,2454380.37571185967,2608580.24615783012
5,1993483.21670548012,1970673.14904757985
6,3855095.71644133003,3171693.18599902978
7,3154911.18065210013,586973.24783580494
8,4626910.53295307979,3251663.42159018992
9,4542738.92520090938,2698603.46420310996
10,3248137.11138398014,3103721.14822978014
11,2829916.63969307020,1615308.09694471001
12,4611998.84498722944,777462.79509794596
13,1045560.64648916980,3383328.27405159967
14,3612632.72161317058,1471144.26800906961
15,3693899.84671032988,1802409.13941797009
16,873163.33261060598,3152897.30946400017
17,1476439.30015195976,1200701.27114424016
18,2706219.39561456023,13326.13987361360
19,2209391.09549006959,2067495.93044283031
20,1215907.62517543021,2657054.58885054989
21,3413309.80013367021,2824514.57648393000
22,2930996.11184539972,526388.37300106301
23,2940460.88025706960,824024.56329518603
24,3007869.98290599976,269290.85529513098
25,4653552.63319987990,3354834.52271488030
26,2806284.85610953020,415680.54280583299
27,4496559.74928996991,858638.60561791400
28,2715979.66195646022,2972189.23450691067
29,1404709.69378890004,2470692.44628755003
30,2893088.75193377025,803266.90380264306
31,4382958.98513086047,118189.42339708401
32,2604067.12158398982,851839.13980620413
33,4365591.22784922086,150377.44695027699
34,2600866.31020417996,884296.92661140906
35,1951364.11985738971,2335975.58640886005
36,1808693.27137041022,1410275.64740404999
37,1160134.95472291997,3162499.91787253972
38,256717.76996460397,3172968.49992367951
39,4787030.51991184987,2726441.56239459990
40,3546550.30808921019,2595579.96936120000
41,436162.20071288105,942399.72262299899
42,1310827.87119743018,1289429.41883475007
43,759988.47275569593,3079367.93651003949
44,1420214.99013133999,1976062.20047166012
45,2045004.33195744990,2756427.72411065036
46,853871.26544257090,605666.83063483599
47,3119944.03665568028,3372291.83735317038
48,2980084.89901206968,132241.59329487500
49,4263850.35984922945,2130373.61150686024
50,4380226.83667870983,577345.08550925902
51,4929348.67167821061,2695189.60272572003
52,554548.15404183499,2180580.63390388014
53,3096373.75633970974,384899.43819517101
54,3175221.89248119993,2375100.80210378999
55,2947124.22498648008,862678.82116376492
56,2381648.05419094022,2461700.67410115013
57,4437359.98075183947,434486.29171907401
58,3064422.26557640033,114067.52277614400
59,1467797.07994096004,2453382.12047694996
60,4877557.31639648974,2956201.48549732007
61,4756933.23299513943,3376862.49546136986
62,2726243.81586008985,1503204.93803357007
63,2135345.43226838950,780931.47268428700
64,2578451.40367144998,462491.57253388298
65,697805.29392036807,605559.50336209603
66,4862005.62215821072,2851799.74015739048
67,1136629.04985364014,1371339.36248320015
68,2658846.50347098988,1096021.50337844994
69,4133854.93018818926,2565402.29054370988
70,2873766.25175460987,2899546.69636995019
71,4145192.35346082039,2857497.78592662001
72,4590261.77053610981,2545883.00240768027
73,2548274.20573711023,518055.58913212601
74,877281.29899065709,525632.46690044901
75,1888899.16938123014,2542768.21969196992
76,2417894.87128011044,1374293.81630615983
77,2411176.37740356987,1274851.49944286002
78,4195690.63644004986,2195491.48851232976
79,1363079.80093548005,2675968.15258484986
80,3795783.35139435995,1404620.39130102983
81,735236.73520125309,3037316.77136053937
82,954373.39078651392,2067751.08824121975
83,272109.19058210705,2657780.87256809976
84,3727962.58526452957,2946911.11744183954
85,687457.28985373094,3081531.63637016946
86,356201.94364832703,2978832.92769219959
87,1617194.31458608015,1865558.51248186012
88,4457364.96277691983,3163343.78591402015
89,1078161.26135995006,3256283.65222688951
90,2431925.34215119993,580424.85211003304
91,861657.15858848998,764039.15450841596
92,3545194.72595806001,3231429.62493778020
93,4195010.38058891054,2800668.76678733015
94,4427683.80305172037,3201278.35883538984
95,4781911.47049737070,3177302.57695811056
96,896230.89450789394,328763.60382860899
97,540880.35083278397,3322571.26601793012
98,3409309.12146406993,190834.17196220902
99,4336365.98440419976,2459410.08097063005
100,3470680.38904821081,2835284.88106501009
101,4551373.70230985060,841235.21762061701
102,332861.68175803602,2394523.05840005027
103,1583614.90910019982,1222872.44728889014
104,920419.98420165293,2482452.76649105037
105,4359118.32684567012,3030481.47607351979
106,3003005.02705878997,712797.56852131197
107,4167865.79552670009,50854.22395061320
108,694636.98812807107,283705.34318363899
109,2409349.47660323977,806518.99989348499
110,2740702.90247080009,778984.23420210800
111,2612964.84687695000,1114570.48235536995
112,1540756.70440695994,1236082.33727710997
113,4878196.54112179019,2842285.37102795998
114,4572361.43745412957,2352129.11121905036
115,1109101.09603526001,1235964.68803377007
116,1874283.48839058005,2951625.02120727021
117,2092108.39699911000,168391.76062041201
118,1087258.86712807999,3213541.98311213031
119,1516670.57360852999,931262.87800826598
120,687019.60958328110,944995.10672078398
121,2490858.48472188972,788154.91709673603
122,3474748.55327723036,2909391.84321621992
123,2608907.49823682010,2750921.70101025002
124,3866615.19126299024,711724.79312606703
125,560075.28162267106,2704477.89054690022
126,2014641.26262026001,120823.67970558201
127,4220850.54420879018,2913572.40501646977
128,3195020.47302140994,2169562.78807548946
129,2787692.95747085009,238699.45009775599
130,4484003.20840544999,1268529.19890346983
131,965001.75125337101,2359853.49551476957
132,2372326.83347859001,1409886.80312461988
133,2495195.55251461035,1438460.30812665005
134,2763079.16187958978,1653494.04358640010
135,2773422.21799165988,1761611.48631608021
136,4521590.75341372006,743442.44447924604
137,5062319.62555347010,3052493.02931744978
